あーるおーあい	ROI
あーるおーいー	ROE
あーるおーえー	ROA
あーるえふきゅー	RFQ
あーるえふぴー	RFP
あいあーる	IR
あいえすえむえす	ISMS
あいぴーおー	IPO
あっぷせる	アップセル	2200
あらりえき	粗利益	1800
あんだーらいてぃんぐ	アンダーライティング	2200
いーえすじー	ESG
いーびっとだー	EBITDA
いーあーるぴー	ERP
いちかぶあたりりえき	一株当たり利益	1800
いっかつしょうきゃく	一括償却	1800
いんぼいすせいど	インボイス制度	1800
うりあげげんか	売上原価	1800
うりあげそうりえき	売上総利益
うりかけきん	売掛金	1800
えーあーるあーる	ARR
えすえるえー	SLA
えすでぃーじーず	SDGs
えぬあーるあーる	NRR
えむあんどえー	M&A
えむあーるあーる	MRR
えぬでぃーえー	NDA
えぬぴーえす	NPS
おーけーあーる	OKR
おんぼーでぃんぐ	オンボーディング	2200
かいかけきん	買掛金	1800
かいけいねんど	会計年度	1800
かしだおれひきあてきん	貸倒引当金	1800
かじゅうへいきんしほんこすと	加重平均資本コスト	1800
かぶぬししほんひりつ	株主資本比率	1800
かんいかぜいせいど	簡易課税制度	1800
くりのべぜいきんしさん	繰延税金資産	1800
げんかいりえき	限界利益	1800
かんりかいけい	管理会計
きほんけいやくしょ	基本契約書	1800
きゃっしゅこんばーじょんさいくる	キャッシュコンバージョンサイクル	1800
きゃっしゅふろー	キャッシュフロー
きゃっしゅふろーけいさんしょ	キャッシュフロー計算書	1800
ぎょうむいたくけいやく	業務委託契約	1800
くろすせる	クロスセル	2200
けいえいかいぎ	経営会議	1800
けいえいしひょう	経営指標	1800
けいぞくかきんしゅうえき	継続課金収益	1800
けーじーあい	KGI
けーぴーあい	KPI
けっさい	決裁	4200
げつじけっさん	月次決算	1800
げんかしょうきゃく	減価償却
げんかりつ	原価率
げんそんそんしつ	減損損失	1800
こきゃくかくとくたんか	顧客獲得単価	1800
こきゃくたんか	顧客単価
こじんじょうほうほごほう	個人情報保護法	1800
こていひ	固定費	1800
さいけんかんり	債権管理	1800
ざいむしょひょう	財務諸表
さーびすれべるごういしょ	サービスレベル合意書	1800
しーあーるえむ	CRM
しーえーしー	CAC
しーえふおー	CFO
しーえすあーる	CSR
しーえむおー	CMO
しーてぃーおー	CTO
しーぴーおー	CPO
しはらいさいと	支払サイト
しほんこすと	資本コスト	1800
しほんせいさんせい	資本生産性	1800
しゃがいとりしまりやく	社外取締役	1800
しゅうえきにんしき	収益認識	1800
しゅうきゃくたんか	集客単価	1800
じーでぃーぴーあーる	GDPR
じぇいそっくす	J-SOX
じゅちゅうりつ	受注率	1800
しょうだんか	商談化	1800
しょうみげんざいかち	正味現在価値	1800
しんちょくりつ	進捗率	1800
すとっくおぷしょん	ストックオプション	2200
せいきゅうしょはっこう	請求書発行	1800
ぜいこうかかいけい	税効果会計	1800
そんえきけいさんしょ	損益計算書	1800
そんえきぶんきてん	損益分岐点
たいしゃくたいしょうひょう	貸借対照表
たなおろししさん	棚卸資産	1800
たんたいけっさん	単体決算	1800
ちゅうもんしょ	注文書
ちょうきまえばらいひよう	長期前払費用	1800
ちゃーんれーと	チャーンレート	2200
でぃーえーゆー	DAU
てきかくせいきゅうしょ	適格請求書
でぃーつーしー	D2C
とうししゅうえきりつ	投資収益率	1800
ないぶしゅうえきりつ	内部収益率	1800
なーちゃりんぐ	ナーチャリング	2200
にーずひありんぐ	ニーズヒアリング	2200
ぱいぷらいん	パイプライン	3000
はっちゅうしょ	発注書
はんかんひ	販管費	1800
はんしゃじょうこう	反社条項	1800
びーつーしー	B2C
びーつーびー	B2B
ひみつほじけいやく	秘密保持契約
ふりーきゃっしゅふろー	フリーキャッシュフロー	1800
ぷらいばしーぽりしー	プライバシーポリシー	2200
ふぉーきゃすと	フォーキャスト	2200
へんどうひ	変動費	1800
ほうじんぜいとうちょうせいがく	法人税等調整額	1800
まえうけしゅうえき	前受収益	1800
まえばらいひよう	前払費用	1800
まえうけきん	前受金	1800
みしゅうしゅうえき	未収収益	1800
みばらいひよう	未払費用	1800
えるてぃーぶい	LTV
えむえーゆー	MAU
りーどたいむ	リードタイム	2200
りーどなーちゃりんぐ	リードナーチャリング	2200
りえきりつ	利益率	1800
りんぎ	稟議
りんぎしょ	稟議書
れんけつけっさん	連結決算	1800
ろうどうぶんぱいりつ	労働分配率	1800
ろいやるてぃ	ロイヤルティ	2800
